Element 1,Element 2,Result
Jump,Nothing,Hippie Jump
Rotate Body 180 (Backside),Hippie Jump,Backside Hippie Jump
Rotate Body 180 (Frontside),Hippie Jump,Frontside Hippie Jump
Rotate Body 180 (Backside),180 Backside Hippie Jump,360 Backside Hippie Jump
Rotate Body 180 (Frontside),180 Frontside Hippie Jump,360 Frontside Hippie Jump
Jump,Pop Tail,Ollie
Rotate Body 180 (Backside),Ollie,Ollie Backside Body Varial
Rotate Body 180 (Frontside),Ollie,Ollie Frontside Body Varial
Rotate Body 180 (Backside),Ollie,Backside Ollie
Rotate Body 180 (Frontside),Ollie,Frontside Ollie
Rotate Body 180 (Backside),180 Backside Ollie,360 Backside Ollie
Rotate Body 180 (Frontside),180 Frontside Ollie,360 Frontside Ollie
Ollie,Spin Skate 180 (Backside),Varial
Varial,Varial,360 Varial
360 Varial,Varial,540 Varial
540 Varial,Varial,720 Varial
720 Varial,Varial,900 Varial
Rotate Body 180 (Backside),Varial,Backside Bigspin
Backside Bigspin,Varial,Backside Biggerspin
Rotate Body 180 (Backside),Backside Biggerspin,Backside Gazelle Spin
Ollie,Spin Skate 180 (Frontside),Pop Shovit
Pop Shovit,Pop Shovit,360 Pop Shovit
360 Shovit,Pop Shovit,540 Pop Shovit
540 Shovit,Pop Shovit,720 Pop Shovit
720 Shovit,Pop Shovit,900 Pop Shovit
Rotate Body 180 (Frontiside),Pop Shovit,Frontside Bigpin
Frontside Bigpin,Pop Shovit,Frontside Biggerspin
Rotate Body 180 (Frontside),Frontside Biggerspin,Frontside Gazelle Spin
Kick,Pop Tail,Flip
Flip,Flip,Double Flip
Double Flip,Flip,Triple Flip
Triple Flip,Flip,Quadruple Flip
Rotate Body 180 (Backside),Flip,Backside Flip
Backside Flip ,Flip,Backside Double Flip
Double Backside Flip,Flip,Backside Triple Flip
Triple Backside Flip,Flip,Backside Quadruple Flip
Rotate Body 180 (Frontside),Flip,Frontside Flip
Frontside Flip ,Flip,Frontside Double Flip
Double Frontside Flip,Flip,Frontside Triple Flip
Triple Frontside Flip,Flip,Frontside Quadruple Flip
Flip,Varial,Varial Flip
Varial Flip,Spin Skate 180 (Backside),360 Flip
360 Flip,Flip,360 Double Flip
360 Double Flip,Flip,360 Triple Flip
360 Triple Flip,Flip,360 Quadruple Flip
360 Flip,Spin Skate 180 (Backside),540 Flip
540 Flip,Flip,540 Double Flip
540 Double Flip,Flip,540 Triple Flip
540 Triple Flip,Flip,540 Quadruple Flip
540 Flip,Spin Skate 180 (Backside),720 Flip
720 Flip,Flip,720 Double Flip
720 Double Flip,Flip,720 Triple Flip
720 Triple Flip,Flip,720 Quadruple Flip
720 Flip,Spin Skate 180 (Backside),900 Flip
900 Flip,Flip,900 Double Flip
900 Double Flip,Flip,900 Triple Flip
900 Triple Flip,Flip,900 Quadruple Flip
Flip,Pop Shovit,Hardflip
Hardflip,Flip,Double Hardflip
Double Hardflip,Flip,Triple Hardflip
Triple Hardflip,Flip,Quadruple Hardflip
Rotate Body 180 (Backside),Hardflip,Backside Ghetto Bird
Rotate Body 180 (Frontside),Hardflip,Frontside Ghetto Bird
Hardflip,Spin Skate 180 (Frontside),360 Hardflip
360 Hardflip,Flip,360 Double Hardflip
360 Double Hardflip,Flip,360 Triple Hardflip
360 Triple Hardflip,Flip,360 Quadruple Hardflip
Heel,Pop Tail,Heelflip
Heelflip,Heelflip,Double Heelflip
Double Heelflip,Heelflip,Triple Heelflip
Triple Heelflip,Heelflip,Quadruple Heelflip
Rotate Body 180 (Backside),Heelflip,Backside Heelflip
Backside Heelflip ,Heelflip,Backside Double Heelflip
Double Backside Heelflip,Heelflip,Backside Triple Heelflip
Triple Backside Heelflip,Heelflip,Backside Quadruple Heelflip
Rotate Body 180 (Frontside),Heelflip,Frontside Heelflip
Frontside Heelflip ,Heelflip,Frontside Double Heelflip
Double Frontside Heelflip,Heelflip,Frontside Triple Heelflip
Triple Frontside Heelflip,Heelflip,Frontside Quadruple Heelflip
Pop Shovit,Heelflip,Shovit Heelflip
Shovit Heelflip,Pop Shovit,Lazer Flip
Lazer Flip,Heelflip,Lazer Double Flip
Lazer Double Flip,Heelflip,Lazer Triple Flip
Lazer Triple Flip,Heelflip,Lazer Quadruple Flip
Heelflip,Varial,Inward Heelflip
Inward Heelflip,Heelflip,Double Inward Heelflip
Double Inward Heelflip,Heelflip,Triple Inward Heelflip
Triple Inward Heelflip,Heelflip,Quadruple Inward Heelflip
Inward Heelflip,Spin Skate 180 (Frontside),360 Inward Heelflip
360 Inward Heelflip,Heelflip,360 Double Inward Heelflip
360 Double Inward Heelflip,Heelflip,360 Triple Inward Heelflip
360 Triple Inward Heelflip,Heelflip,360 Quadruple Inward Heelflip
Jump,Pop Nose,Nollie
Rotate Body 180 (Backside),Nollie ,Nollie  Backside Body Varial 
Rotate Body 180 (Frontside),Nollie ,Nollie  Frontside Body Varial
